Cayuse Award Number,Award Number,Title,Lead PI First Name,Lead PI Last Name,PI Home Department,Award Admin Department,Sponsor,Sponsor Type,Prime Sponsor,Prime Sponsor Type,Start Date,End Date,Direct Costs,Indirect Costs,Total
A21-0449-002,AWD101790 (SUB00000475),TCAN: SIMULATING COSMIC REIONIZATION BEYOND THE CURRENT STATE-OF-THE-ART,Piero,Madau,Astronomy & Astrophysics,Astronomy & Astrophysics,University of Chicago,08 - Higher Education,NASA Shared Services Center,01 - US Federal Government Agency,1/1/2022,12/31/2022,"$22,595","$10,434 ","$33,029 "
A21-0871-001,HST-GO-15924.004-A,A case study for JWST: Disentangling auroral and cloud variability in early L dwarfs,Melodie,Kao,Astronomy & Astrophysics,Astronomy & Astrophysics,Association of Universities for Research in Astronomy (Space Telescope Science Institute),07 -Charitable Organization ,NASA Shared Services Center,01 - US Federal Government Agency,4/1/2022,3/31/2024,"$21,161",$0 ,"$21,161 "
A19-0344-007,5R01CA228413-04 REVISED,Molecular basis of tumor suppression by Cdk4/6 inhibition,Seth,Rubin,Chemistry & Biochemistry,Chemistry & Biochemistry,NIH/NCI,01 - US Federal Government Agency,-,-,1/1/2022,12/31/2022,"$23,245","$5,303 ","$28,548 "
A19-0429-005,5R35GM131781-04,"Discovering How Cu(II)/Zn(II) Uptake by the Prion Protein Controls Structure, Function and Neurotoxicity",Glenn,Millhauser,Chemistry & Biochemistry,Chemistry & Biochemistry,NIH/NIGMS,01 - US Federal Government Agency,-,-,5/1/2022,4/30/2023,"$250,000","$92,635 ","$342,635 "
A21-0805-004,-,Quantifying and inhibiting CDK binding partner interactions,Seth,Rubin,Chemistry & Biochemistry,Chemistry & Biochemistry,Type6 Therapeutics,04 - Business/For-Profit Entity,-,-,3/15/2021,3/31/2023,"$91,776","$49,559 ","$141,335 "
A21-0323-002,80NSSC20K1426,Localized admittance analysis of GRAIL gravity data to probe the elastic thickness of the Moon,Francis,Nimmo,Earth & Planetary Sciences,Earth & Planetary Sciences,NASA Shared Services Center,01 - US Federal Government Agency,-,-,12/1/2020,11/30/2022,"$102,270","$27,772 ","$130,042 "
A21-0492-003,80NSSC21K0388,Moderately volatile elements as a probe of planetary accretion,Francis,Nimmo,Earth & Planetary Sciences,Earth & Planetary Sciences,NASA Shared Services Center,01 - US Federal Government Agency,-,-,1/1/2021,12/31/2023,"$141,896","$21,581 ","$163,477 "
A21-0634-002,1656356,Analysis of line-of-sight acceleration data at Europa,Francis,Nimmo,Earth & Planetary Sciences,Earth & Planetary Sciences,Jet Propulsion Laboratory,08 - Higher Education,NASA Shared Services Center,01 - US Federal Government Agency,10/1/2020,11/23/2024,"$7,143","$3,857 ","$11,000 "
A22-0704-001,80NSSC22K0633,Comparing the material properties of Titan aerosols and laboratory-made aerosol analogs,Xinting,Yu,Earth & Planetary Sciences,Earth & Planetary Sciences,NASA/Miscellaneous Centers,01 - US Federal Government Agency,-,-,3/1/2022,2/28/2025,"$134,668","$48,894 ","$183,562 "
A22-0729-001,N00014-22-1-2393,"Advances in Sub-Bottom Profiling Systems: SBP29 Evaluation and Comparison with Other Sub-Bottom Profilers - West Coast, USA",Daniel,Orange,Earth & Planetary Sciences,Earth & Planetary Sciences,Office of Naval Research,01 - US Federal Government Agency,-,-,5/1/2022,4/30/2025,"$72,022","$18,725 ","$90,747 "
